DE-DE,mood
aber hallo,neutral
aber sicher,neutral
abrakadabra,positiv
ach,negativ
ach du grüne neune,negativ
ach du liebe zeit,negativ
ach du meine güte,negativ
ach ja,neutral
ach so,neutral
achje,negativ
achtung,negativ
ade,neutral
ah,neutral
aha,neutral
ähm,neutral
ahoi,neutral
alles klar,neutral
aloha,neutral
als ob,negativ
argh,negativ
arrivederci,neutral
aso,neutral
au,negativ
au weia,negativ
aua,negativ
autsch,negativ
bazinga,positiv
bingo,positiv
bis bald,neutral
bis dann,neutral
bla,neutral
boing,neutral
bon appetit,neutral
bon voyage,neutral
bonjour,neutral
bravo,positiv
brumm,neutral
buh,negativ
buhu,negativ
bumm,neutral
bzz,negativ
da lachen ja die hühner,negativ
ding dong,neutral
dito,neutral
donner und doria,negativ
donnerwetter,positiv
ebenso,neutral
en garde,neutral
ey,negativ
geh nur,neutral
gemach,neutral
genug,negativ
gesundheit,neutral
gott im himmel,negativ
grüß gott,neutral
gute reise,neutral
guten appetit,neutral
hach ja,neutral
halleluja,negativ
hals und beinbruch,neutral
halt,negativ
hände hoch,neutral
heiliger strohsack,negativ
heisa,positiv
hey,positiv
hihi,positiv
hipp hipp hurra,positiv
hört hört,neutral
hü,neutral
hüa,neutral
huch,negativ
huhu,neutral
hui,positiv
hurra,positiv
ich glaub ich bin im kino,negativ
ich glaub mein schwein pfeift,negativ
ich glaub mich knutscht ein elch,negativ
ich glaub mich laust der affe,neagtiv
ich glaub mich tritt ein pferd,neagtiv
igitt,negativ
iiieh,negativ
ist nicht dein ernst,neagtiv
japp,neutral
jawohl,positiv
jo,positiv
juhu,positiv
kein kommentar,neagtiv
keine ursache,neutral
kikeriki,neutral
klar,neutral
klick klack,neutral
kopf hoch,negativ
kuckuck,neutral
lass es dir schmecken,neutral
lecker,neutral
los,neutral
mach's gut,neutral
mahlzeit,neutral
mamma mia,negativ
mann über bord,neutral
manometer,negativ
mazel tov,positiv
mein gott,negativ
merci,neutral
miau,neutral
mist,negativ
moin,neutral
muh,neutral
na klar,positiv
na sieh mal einer an,positiv
na und?,neutral
na?,neutral
naja,negativ
nanu?,neutral
ne,negativ
nee,negativ
nichts da,negativ
nix da,negativ
nö,negativ
null problemo,positiv
obacht,negativ
och,negativ
oh mann,negativ
oh mein gott,negativ
oh my god,negativ
oh nein,negativ
oh oh,negativ
ohne scheiß,negativ
oink,negativ
oje,negativ
okey dokey,positiv
ooh la la,positiv
pfui,negativ
piep,neutral
plop,neutral
plumps,negativ
prima,positiv
prosit,positiv
prost,positiv
puff,neutral
puh,negativ
pustekuchen,negativ
schachmatt,negativ
schade,negativ
schau an,positiv
sesam öffne dich,neutral
seufz,negativ
sieh an,positiv
siehe da,positiv
siehste?,neutral
spoileralarm,neutral
stimmt,positiv
super,positiv
supi,positiv
süßes oder saures,neutral
tada,positiv
tatsächlich,neutral
tick tack,neutral
tja,neutral
touche,positiv
tschö,neutral
türlich,neutral
tut,neutral
uff,negativ
verdammt,negativ
verflixt,negativ
viel glück,neutral
voila,positiv
von wegen,negativ
vorsicht,negativ
war nur ein scherz,neutral
was zur hölle,negativ
weh mir,negativ
wehe,negativ
wie du meinst,neutral
willkommen,neutral
wow,positiv
wuff,neutral
yay,positiv
zugabe,positiv
zum wohl,neutral
