EN-US,mood
abracadabra,positiv
achoo,neutral
aha,neutral
ahem,negativ
ahoy,neutral
all righty,positiv
aloha,neutral
aooga,neutral
argh,negativ
arrivederci,neutral
as you wish,neutral
au revoir,neutral
aw man,negativ
baa,negativ
bada bing bada boom,positiv
bah humbug,negativ
bam,positiv
bang,positiv
batter up,neutral
bazinga,positiv
beep beep,neutral
bingo,positiv
blah,negativ
blarg,negativ
blast,negativ
boing,neutral
bon appetit,neutral
bonjour,neutral
bon voyage,neutral
boo,negativ
boo hoo,negativ
boom,positiv
booya,positiv
bravo,positiv
bummer,negativ
caw,neutral
cha ching,neutral
checkmate,neutral
cheerio,positiv
cheers,neutral
cheer up,positiv
chirp,neutral
choo choo,neutral
clank,neutral
click clack,neutral
cock a doodle doo,neutral
coo,neutral
cowabunga,positiv
darn,negativ
ding dong,neutral
ditto,neutral
d’oh,negativ
dot dot dot,neutral
duh,negativ
dum,negativ
dun dun dun,negativ
dynomite,negativ
eek,negativ
eep,negativ
encore,neutral
en gard,neutral
eureka,positiv
fancy that,neutral
geronimo,neutral
giddy up,neutral
good grief,negativ
good luck,neutral
good riddance,neutral
gotcha,positiv
great scott,negativ
heads up,negativ
hear hear,positiv
hip hip hooray,positiv
hiss,neutral
honk,neutral
howdy,positiv
hurrah,positiv
hurray,positiv
huzzah,positiv
jeepers creepers,negativ
jiminy cricket,neutral
jinx,negativ
just kidding,neutral
kaboom,negativ
kablam,negativ
kaching,negativ
kapow,negativ
katchow,negativ
kazaam,negativ
kerbam,negativ
kerboom,negativ
kerching,negativ
kerchoo,negativ
kerflop,negativ
kerplop,negativ
kerplunk,negativ
kerpow,negativ
kersplat,negativ
kerthump,negativ
knock knock,neutral
le sigh,neutral
look out,negativ
mamma mia,negativ
man overboard,neutral
mazel tov,positiv
meow,neutral
merci,positiv
moo,neutral
nanu nanu,negativ
neener neener,negativ
no way,negativ
now now,neutral
oh boy,negativ
oh brother,negativ
oh dear,negativ
oh my,negativ
oh snap,negativ
oink,negativ
okey dokey,positiv
oof,negativ
ooh la la,positiv
open sesame,neutral
ouch,negativ
oy,neutral
phew,negativ
phooey,neutral
ping,neutral
plop,neutral
poof,neutral
pop,neutral
pow,neutral
quack,neutral
read ‘em and weep,neutral
ribbit,neutral
righto,neutral
roger,neutral
ruh roh,neutral
shucks,negativ
splash,neutral
spoiler alert,neutral
squee,neutral
swish,neutral
swoosh,neutral
ta da,positiv
ta ta,positiv
tee hee,positiv
there there,neutral
thump,positiv
tick tick tick,neutral
tick-tock,neutral
touche,positiv
tsk tsk,neutral
tweet,neutral
uh huh,negativ
uh oh,negativ
voila,positiv
vroom,neutral
wahoo,positiv
wah wah,neutral
watch out,negativ
way to go,neutral
well done,positiv
well well,negativ
wham,positiv
whammo,positiv
whee,negativ
whew,negativ
woof,negativ
whoops a daisy,negativ
whoosh,neutral
woo hoo,positiv
wow,positiv
wowza,positiv
wowzer,positiv
yadda yadda yadda,neutral
yay,negativ
yikes,negativ
yippee,positiv
yoink,negativ
yoo hoo,positiv
you bet,neutral
yowza,positiv
yowzer,positiv
yuck,negativ
yum,positiv
zap,negativ
zing,negativ
zoinks,negativ
